"BehaviorSpace results (NetLogo 6.3.0)"
"cooperation_spatial_diversity.nlogo"
"random-local-roaming"
"10/10/2023 10:52:35:345 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","63","0","63"
"[run number]","roaming-agents","noise-factor","synergy-factor","neighborhood-type","world-size","imitation-policy","[step]","mean-cooperators1k"
"15","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.010925531387329102"
"11","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.007312774658203125"
"9","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.038146257400512695"
"16","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.010279655456542969"
"10","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.021907329559326172"
"14","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.017162084579467773"
"8","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.020502328872680664"
"12","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03355240821838379"
"7","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03563666343688965"
"5","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.024230241775512695"
"13","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.023476123809814453"
"3","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.019552946090698242"
"4","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.024559497833251953"
"1","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.030485868453979492"
"2","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.033646345138549805"
"6","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02902817726135254"
"17","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.017760515213012695"
"21","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.01907658576965332"
"19","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02418661117553711"
"25","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.024915695190429688"
"23","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02667069435119629"
"18","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.046721696853637695"
"26","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.009423971176147461"
"22","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.013642072677612305"
"24","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.013130903244018555"
"27","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03525590896606445"
"30","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.009193181991577148"
"29","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02189183235168457"
"28","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.023920774459838867"
"20","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.01836109161376953"
"32","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.018104076385498047"
"31","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02304553985595703"
"33","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03662538528442383"
"35","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03168535232543945"
"34","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03647971153259277"
"36","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.04682159423828125"
"39","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.022879600524902344"
"38","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.013859987258911133"
"37","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.032826900482177734"
"40","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.029075145721435547"
"42","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.019723892211914062"
"44","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.013678789138793945"
"43","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.022960186004638672"
"41","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03030562400817871"
"45","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.02809762954711914"
"48","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03311872482299805"
"47","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.03491711616516113"
"46","0","0.5","2.5","random von Neumann","64","fermi-dirac","2048","0.01479482650756836"
